art,datum,detail,ort,latitude,longitude
Sturzflut 3,22.08.1974,Schwere Sturzflut in der Region Steffisburg (BE),Steffisburg,46.7774738,7.6354195
Sturzflut 1,18.08.1974,Sturzflut über dem Engstligental (BE),Engstligental,46.4963933,7.5745532
Sturzflut 2,25.07.1973,Sturzflut bei Oberdiessbach (BE),Oberdiessbach,46.8399962,7.6192848
Sturzflut 2,15.07.1973,Sturzflut im Gantrischgebiet (BE),Gantrischgebiet,46.70542893,7.450563919
Sturzflut 2,06.07.1973,Sturzflut bei Romanshorn (TG),Romanshorn (T,47.5654452,9.3776036
Hochwasser,23.06.1973,Starkregen im Jura (Birshochwasser) und im Zürcher Oberland,Jurasüdfuss,47.26171797,7.629470457
Sturzflut 1,13.06.1973,Sturzflut bei Kehrsatz (BE),Kehrsatz (BE),46.9119427,7.4731844
Sturzflut 1,01.06.1973,Sturzflut bei Signau (BE),Signau,46.92083112,7.725787083
Sturzflut 1,01.06.1973,Sturzflut bei Düdingen (FR),Düdingen (FR),46.849747,7.1904436
Hochwasser,22.11.1972,Aufgleitregen mit Hochwasser im zentralen- und östlichen Mittelland,zentrales Mittelland,47.24430628,7.699401874
Sturzflut 2,16.08.1972,Sturzflut bei Geltwil (AG),Geltwil,47.24895126,8.32173628
Sturzflut 2,26.07.1972,Sturzflut bei Oberhofen (BE),Oberhofen (BE,46.7313738,7.6687101
Sturzflut 2,24.07.1972,Sturzflut bei Couvet im Val-de-Travers (NE),Couvet,46.9261639,6.6343244
Sturzflut 3,24.07.1972,Sturzfluten am Napf und Hochwasser im Lutherntal,Napf,47.0041683,7.940072447
Hochwasser,21.07.1972,Ungewöhnlich starke Gewitterregen in der Ostschweiz,Ostschweiz,47.2483004,9.4801995
Sturzflut 2,21.07.1972,Sturzflut bei Walenstadt (SG),Walenstadt (S,47.1275818,9.3014533
Sturzflut 1,20.07.1972,Sturzflut bei Altstetten (ZH),Altstetten (Z,47.3874029,8.4860612
Sturzflut 3,18.07.1972,Sturzflut am Ärmighorn und Bildung des Tschingelsees (BE),Ärmighorn,46.54251902,7.714035649
Sturzflut 1,29.06.1972,Sturzflut bei Thayngen (SH) und im Schlattertal (TG),Thayngen (SH),47.7470005,8.7061689
Hochwasser,07.06.1971,Starkregen in der Linthebene und der Innerschweiz,Linthebene,47.12641101,9.087535317
Hochwasser,11.09.1970,Starker Gewitterregen im Tessin,Tessin,46.3351913,8.7525902
Hochwasser,17.08.1970,Hochwasser bei Hochdorf (LU) und Sempach (LU),Hochdorf (LU),47.1665361,8.2899709
Sturzflut 2,16.08.1970,Sturzflut am Jaunpass (FR),Jaunpass,46.5921588,7.3390803
Hochwasser,09.08.1970,Starkregen in den Ostalpen,Ostalpen,46.89969923,9.238771654
Sturzflut 2,28.07.1970,"Sturzfluten bei Lauenen (BE), Adelboden (BE), Wimmis (BE)",Lauenen (BE),46.4247066,7.3223985
Sturzflut 1,22.06.1970,Sturzflut bei Frauenfeld (TG),Frauenfeld (TG),47.5561915,8.8963347
Sturzflut 3,22.06.1970,Sturzfluten im Zürcher Oberland mit Hochwasser in Bauma (ZH),Zürcher Oberland,46.5869575,7.6464814
Sturzflut 2,22.06.1970,Sturzfluten am Zürichsee von Meilen (ZH) bis Uerikon (ZH),Zürichsee,47.27909555,8.597867996
Sturzflut 1,20.06.1970,Sturzflut über Zürich (ZH),Zürich,47.3744489,8.5410422
Sturzflut 1,03.09.1969,Sturzflut bei Frutigen (BE),Frutigen,46.5874205,7.6444369
Sturzflut 3,03.09.1969,Sturzflut am Murtensee (FR),Murtensee (FR),46.93121375,7.081947758
Sturzflut 2,05.07.1969,Sturzflut im Hochmoor Rothenthurm (SZ) und am Sihlsee (SZ),Rothenthurm,47.1047258,8.6748441
Sturzflut 2,05.07.1969,Sturzflut bei Emmenbrücke (LU) und am Zugersee (ZG),Emmenbrücke,47.077539,8.270942
Sturzflut 2,05.07.1969,Sturzflut bei Habkern (BE),Habkern,46.7276046,7.8646663
Hochwasser,02.11.1968,Starkregen und Hochwasser im Oberwallis und Tessin,Oberwallis,46.30188875,7.940752896
Hochwasser,21.09.1968,Starkregen und Hochwasser vom Bieler- bis zum Bodensee,Bielersee,47.08610345,7.171634002
Hochwasser,02.08.1968,Starker Gewitterregen vom Genfersee bis ins Emmental,Genfersee,46.44203667,6.500061185
Sturzflut 2,03.07.1968,Sturzflut bei Unterbeinwil (SO) und Meltingen (SO),Unterbeinwil ,47.3624165,7.570634591
Sturzflut 2,02.07.1968,Sturzflut bei Le Pâquier (FR) an der Nordflanke des Moléson,Le Pâquier,46.5950644,7.0527454
Sturzflut 3,28.05.1968,Sturzflut bei Münsingen (BE),Münsingen (BE),46.8739775,7.5631943
Sturzflut 2,21.07.1967,Sturzflut von Claro (TI) bis Grono (GR),Claro,46.2552548,9.0231951
Sturzflut 2,03.07.1967,Sturzflut bei Lienz (SG),Lienz,47.2774546,9.5160452
Sturzflut 1,03.07.1967,Sturzflut bei Burgistein (BE),Burgistein,46.7913175,7.500478
Sturzflut 3,07.06.1967,Sturzflut bei Sempach (LU),Sempachersee,47.1458589,8.15272315
Sturzflut 1,19.08.1966,Sturzflut bei Jaun (FR),Jaun,46.6113953,7.2761312
Sturzflut 1,15.08.1966,Sturzflut bei Genf (GE),Genf,46.2017559,6.1466014
Hochwasser,17.07.1966,Starkregen im Appenzellerland,Appenzell,47.3299506,9.4099311
Hochwasser,06.05.1966,Starkregen in der Surselva und im Südtessin,Surselva,46.6932128,9.004148664
Hochwasser,09.09.1965,Starker Gewitterregen mit Hochwasser im Tessin,Tessin,46.3351913,8.7525902
Hochwasser,22.08.1965,Starkregen in den Alpen,Alpen,46.38027065,8.871315788
Hochwasser,10.06.1965,"Starkregen in den Ostalpen mit Hochwasser am Bodensee, Thur, Murg und Rhein",Bodensee,47.5170476,9.505267395
Sturzflut 1,13.07.1964,Sturzflut bei Genf (GE),Genf,46.2017559,6.1466014
Sturzflut 1,23.05.1964,Sturzflut bei Burgistein (BE),Burgistein,46.7913175,7.500478
Hochwasser,04.05.1964,Starkregen in der Ostschweiz,Ostschweiz,47.2483004,9.4801995
Hochwasser,19.04.1964,Starkregen im Tessin und im Binntal (VS),Tessin,46.3351913,8.7525902
Sturzflut 2,06.08.1963,Sturzflut bei Grandchamp (NE),Grandchamp,46.9520225,6.8583713
Sturzflut 2,03.08.1963,Sturzflut bei Lausanne (VD),Lausanne (VD),46.5218269,6.6327025
Sturzflut 1,23.07.1963,Sturzflut bei La Chaux-de-Fonds (NE),La Chaux-de-Fonds,47.1031321,6.8325778
Sturzflut 1,22.07.1963,Sturzflut bei Estavayer-le-Lac (FR),Estavayer-le-Lac,46.8496406,6.8477378
Sturzflut 2,17.07.1963,Sturzflut bei Dielsdorf (ZH),Dielsdorf (ZH),47.4810371,8.4543245
Sturzflut 1,17.07.1963,Sturzflut in Bern (BE),Bern ,46.9484742,7.4521749
Sturzflut 2,17.07.1963,Sturzflut bei Aarau (AG),Aarau,47.3927146,8.0444448
Sturzflut 1,07.07.1963,Sturzflut bei Delémont (JU),Delémont (JU),47.3615882,7.354445
Sturzflut 2,11.06.1963,Sturzflut bei Pleigne (JU),Pleigne,47.4074958,7.292424
Sturzflut 2,10.06.1963,Sturzflut bei Gersau (SZ) und Brunnen (SZ),Gersau (SZ),46.9923,8.5264727
Sturzflut 2,10.06.1963,Sturzflut bei Malters (LU),Malters,47.0383996,8.1830555
Hochwasser,11.12.1961,Starkregen in Kanton Glarus,Glarus,46.9796562,9.108812
Sturzflut 1,26.06.1961,Sturzflut bei Courfaivre (JU) und Delémont (JU),Courfaivre ,47.3345207,7.2838079
Sturzflut 1,22.06.1961,Sturzflut bei Neuenburg (NE) und Yverdon (VD),Neuenburg (NE),46.9895828,6.9292641
Hochwasser,16.09.1960,Starker Gewitterregen in Graubünden und im Tessin,Graubünden,46.6960615,9.6027351
Sturzflut 1,28.08.1960,Sturzflut in Genf (GE),Genf,46.2017559,6.1466014
Hochwasser,18.08.1960,Starker Gewitterregen im Tessin (Langenseebecken),Tessin,46.3351913,8.7525902
Sturzflut 1,18.08.1960,Sturzflut in Riehen (BS),Riehen,47.5816927,7.6479737
Sturzflut 2,05.08.1960,Sturzfluten von Gersau (SZ) bis Rothenthurm (SZ),Gersau (SZ),46.9923,8.5264727
Sturzflut 1,31.07.1960,Sturzflut in Schaffhausen (SH),Schaffhausen,47.6960491,8.634513
Hochwasser,17.02.1960,Starkregen über Gryon (VD),Gryon,46.2746628,7.063671
Sturzflut 1,20.08.1959,Sturzflut am Harder (BE),Harder,46.6996817,7.856137506
Sturzflut 2,11.07.1959,Sturzflut am Piz Danis (GR),Piz Danis (GR),46.7376234,9.5072029
Sturzflut 2,10.07.1959,Sturzflut bei Leytron (VS),Leytron,46.1859543,7.2068108
Sturzflut 2,07.06.1959,Sturzflut bei Wattenwil (BE),Wattenwil (BE),46.7691764,7.5076613
Sturzflut 1,07.06.1959,Sturzflut in Zürich (ZH),Zürich,47.3744489,8.5410422
Hochwasser,07.06.1959,Starke Gewitterregen in der Ostschweiz,Ostschweiz,47.2483004,9.4801995
Sturzflut 1,06.06.1959,Sturzflut bei Saint-Ursanne (JU),Saint-Ursanne,47.3646034,7.1539488
Hochwasser,01.05.1959,Starkregen in der Nordostschweiz,Nordostschweiz,47.58507871,9.165618472
Hochwasser,01.10.1958,Starkregen am Gotthard,Gotthard,46.8998751,9.0294294
Sturzflut 1,31.08.1958,Sturzflut bei Ueberstorf (FR),Ueberstorf,46.8650568,7.3114056
Sturzflut 3,19.08.1958,Sturzflut im Binntal (VS) und über dem Simplon (VS),Binntal (VS),46.3636082,8.1825814
Sturzflut 1,06.08.1958,Sturzflut in Basel Binningen (BL) und Basel Bruderholz (BS),Basel Binningen,47.5410508,7.5835282
Sturzflut 1,20.07.1958,Sturzflut bei Saint-Maurice (VS),Saint-Maurice,46.20294015,7.007179656
Sturzflut 1,05.07.1958,Sturzflut bei Bretzwil (BL),Bretzwil (BL),47.3970067,7.6508005
Sturzflut 1,05.07.1958,Sturzflut bei Schaffhausen (SH),Schaffhausen ,47.6960491,8.634513
Sturzflut 1,01.07.1958,Sturzflut bei Malters (LU),Malters,47.0383996,8.1830555
Hochwasser,10.06.1958,Starkregen in den Voralpen,Voralpen,46.223644,8.027146
Sturzflut 1,27.05.1958,Sturzflut in Movelier (JU),Movelier,47.4093561,7.3180391
Hochwasser,27.05.1958,Starker Gewitterregen in Graubünden und im Tessin,Graubünden,46.6960615,9.6027351
Hochwasser,16.02.1958,Starkregen im Glarnerland,Glarnerland,47.1379405,9.049461429
Hochwasser,13.08.1957,Starker Gewitterregen in Graubünden und im Tessin,Graubünden,46.6960615,9.6027351
Sturzflut 1,26.06.1957,Sturzflut bei Spiez (BE),Spiez,46.6919473,7.6774655
Sturzflut 1,21.06.1957,Sturzflut bei Schwyz (SZ),Schwyz,47.0571976,8.7222073
Sturzflut 2,21.06.1957,Sturzflut bei Herisau (AR),Herisau,47.38555,9.2787571
Sturzflut 1,15.06.1957,Sturzflut in Genf (GE),Genf,46.2017559,6.1466014
Sturzflut 2,15.06.1957,Sturzflut bei Ueberstorf (FR) >Obermettlen (FR),Ueberstorf,46.8650568,7.3114056
Hochwasser,13.06.1957,Hochwasser in Täsch (VS),Täsch,46.0676751,7.7770173
Hochwasser,24.02.1957,Starkregen und Hochwasser im Toggenburg (SG),Toggenburg,47.180949,9.32019222
Sturzflut 1,10.09.1956,Sturzfluten in La Chaux-de-Fonds (NE) und im Bezirk Val-de-Ruz (NE),La Chaux-de-Fonds,47.1031321,6.8325778
Hochwasser,27.08.1956,Starker Gewitterregen im Tessin,Tessin,46.3351913,8.7525902
Sturzflut 2,10.08.1956,Sturzfluten am Napf bei Willisau (LU) und Luthern (LU),Napf,47.0040019,7.9399419
Sturzflut 1,14.07.1956,Sturzflut bei Leuk (VS),Leuk,46.27775645,7.66802023
Sturzflut 1,08.07.1956,Sturzflut bei Plaffeien (FR) und Schwarzsee (FR),Plaffeien,46.741454,7.2865098
Sturzflut 2,06.06.1956,Sturzflut in Appenzell (AI),Appenzell,47.3299506,9.4099311
Sturzflut 2,04.09.1955,Sturzflut bei La Sagneule (NE) und Rochefort (NE),La Sagneule,47.0054637,6.80047728
Sturzflut 1,14.07.1955,Sturzflut bei Cornaux (NE),Cornaux,47.0383306,7.0188056
Sturzflut 1,14.07.1955,Sturzflut bei Neuenegg (BE) und Wünnewil (FR),Neuenegg,46.895472,7.3034416
Sturzflut 2,13.07.1955,Sturzflut am Randen bei Siblingen (SH),Randen,47.79784875,8.586608972
Hochwasser,14.07.1955,Starke Gewitterregen und Hochwasser im Kanton Zürich,Zürich,47.3744489,8.5410422
Sturzflut 1,12.07.1955,Sturzfluten bei Saint-Ursanne (JU) und Rebeuvelier (JU),Saint-Ursanne,47.3646034,7.1539488
Sturzflut 1,11.07.1955,Sturzflut in Bern (BE),Bern ,46.9484742,7.4521749
Sturzflut 1,26.06.1955,Sturzflut bei Saint-Blaise (NE),Saint-Blaise,47.0130836,6.9879483
Sturzflut 2,25.06.1955,Sturzflut bei Wintersingen (BL),Wintersingen ,47.4949559,7.823229
Sturzflut 1,19.06.1955,Sturzflut bei Bottmingen (BL),Bottmingen,47.5234501,7.5748727
Hochwasser,09.12.1954,Starkregen im Tessin,Tessin,46.3351913,8.7525902
Sturzflut 2,07.09.1954,Sturzflut bei Plasselb (FR) und Ueberstorf (FR),Plasselb (FR),46.7354779,7.2516771
Hochwasser,22.08.1954,Starkregen und Hochwasser in der Schweiz,Schweiz,46.7985624,8.2319736
Hochwasser,01.07.1954,Starkregen von Muotatal (SZ) über den Walensee bis nach Appenzell,Muotathal,46.974668,8.7658029
Sturzflut 2,22.06.1954,Sturzflut am Fronalpstock bei Morschach (SZ) und bei Sarnen (OW),Morschach (SZ),46.9821204,8.6191516
Sturzflut 3,21.06.1954,Sturzflut bei Winterthur (ZH),Winterthur (ZH),47.4991723,8.7291498
Sturzflut 1,30.06.1953,Sturzflut bei Hundwil (AR),Hundwil,47.3656744,9.3182713
Sturzflut 2,30.06.1953,Sturzflut bei Horw (LU) und Luzern (LU),Horw,47.0185008,8.3107797
Hochwasser,26.06.1953,Starkregen mit Hochwasser vom Zürich- bis zum Walensee,Zürichsee,47.27909555,8.597867996
Sturzflut 1,22.06.1953,Sturzfluten bei Langnau im Emmental (BE),Langnau,46.9392339,7.7882673
Sturzflut 1,09.06.1953,Sturzflut bei Herisau (AR),Herisau,47.38555,9.2787571
Hochwasser,09.06.1953,Starkregen in der Westschweiz,Westschweiz,46.57714235,6.446213791
Hochwasser,06.09.1952,Starker Gewitterregen im Tessin,Tessin,46.3351913,8.7525902
Hochwasser,22.11.1951,Hochwasser am Lago Maggiore und am Lago di Lugano,Lago di Lugano,45.9696586,8.959775084
Hochwasser,22.10.1951,Starker Gewitterregen im Südtessin,Südtessin,45.87798965,8.975076564
Hochwasser,08.08.1951,Starker Gewitterregen im Tessin,Tessin,46.3351913,8.7525902
Sturzflut 3,11.07.1951,Sturzflut am Napf bei Willisau (LU) und bei Hergiswil (LU),Napf,47.0040019,7.9399419
Sturzflut 1,25.06.1951,Sturzflut bei Waldenburg (BL),Waldenburg,47.3833615,7.7485063
Hochwasser,11.02.1951,Starkregen im Centovalli und im Gotthardgebiet,Gotthardgebiet,46.60822573,8.638170082
Hochwasser,20.01.1951,Starkregen im Glarnerland und Prättigau,Prättigau,46.9820099,9.6368062
Hochwasser,16.11.1950,Starkregen im Alpenvorland,Alpenvorland,46.96560373,8.540478243
Hochwasser,11.11.1950,Starkregen in der Westschweiz,Westschweiz,46.57714235,6.446213791
Sturzflut 1,25.08.1950,Sturzflut bei Morges (VD),Morges,46.5093268,6.498317
Sturzflut 1,17.06.1950,Sturzflut in Bümplitz (BE),Bümplitz,46.93984645,7.389877448
Sturzflut 2,01.09.1949,Sturzflut bei Flühli (LU),Flühli,46.8840067,8.01564
Hochwasser,04.09.1948,Starke Stauniederschläge im Oberwallis und im Tessin,Oberwallis,46.30188875,7.940752896
Hochwasser,10.08.1948,Starker Gewitterregen im Südtessin,Südtessin,45.87798965,8.975076564
Sturzflut 1,02.08.1948,Sturzflut bei Urdorf (ZH),Urdorf,47.384708,8.4259004
Sturzflut 3,02.08.1948,Sturzflut bei Bruggen St. Gallen (SG),Bruggen,47.41031,9.3345864
Sturzflut 3,02.08.1948,Sturzflut im Eigenthal (LU),Eigenthal (LU),47.0088291,8.2112182
Sturzflut 2,02.08.1948,Sturzflut bei Reichenburg (SZ),Reichenburg,47.1691793,8.9754615
Sturzflut 1,01.08.1948,Sturzflut bei Leytron (VS),Leytron,46.1859543,7.2068108
Sturzflut 2,01.08.1948,Sturzflut bei Rechthalten (FR) und im Schwarzseetal (FR),Rechthalten,46.7675326,7.2400909
Sturzflut 1,29.07.1948,Sturzflut bei Saint-Brais (JU),Saint-Brais,47.3053022,7.1125855
Hochwasser,19.06.1948,Starkregen im Graubünden und im Tessin,Tessin,46.3351913,8.7525902
Hochwasser,25.09.1947,Starkregen im Südtessin und im Oberwallis,Oberwallis,46.30188875,7.940752896
Hochwasser,08.07.1947,Starker Gewitterregen im Tessin,Tessin,46.3351913,8.7525902
Sturzflut 2,14.07.1946,Sturzflut bei Zollikon (ZH) und Küsnacht (ZH),Zollikon (ZH),47.3379535,8.5755735
Sturzflut 1,02.07.1946,Sturzflut am Frümserberg (SG),Frümserberg ,47.09208811,9.287604528
Sturzflut 2,02.07.1946,Sturzflut bei Grandson (VD),Grandson (VD),46.8086306,6.6417532
Sturzflut 1,01.07.1946,Sturzflut bei Trimmis (GR),Trimmis,46.8970804,9.5634251
Hochwasser,13.06.1946,Starkregen in der Zentralschweiz und im Zürcher Oberland,Zürcher Oberland,46.5869575,7.6464814
Sturzflut 2,25.05.1946,Sturzflut bei Signau (BE),Signau,46.9188975,7.7255918
Hochwasser,29.10.1945,Starke Stauniederschläge im Tessin,Tessin,46.3351913,8.7525902
Hochwasser,10.08.1945,Heftiger Landregen im Juragebiet der Nordschweiz,Jurasüdfuss,47.26171797,7.629470457
Sturzflut 3,10.07.1945,Sturzflut im Entlebuch (LU),Entlebuch (LU),46.9922358,8.0645622
Hochwasser,24.11.1944,Schneeschmelze und Dauerregen > Hochwasser im Seeland und im Simmental,Simmental (BE),46.657719,7.469597
Hochwasser,08.11.1944,Heftiger Dauerregen im Jura und Alpengebiet,Jura,47.3566699,7.1598893
Sturzflut 2,24.08.1944,Sturzflut bei Linthal (GL) mit Rückstau der Linth,Linthal (GL) ,46.918987,8.99714
Sturzflut 3,24.08.1944,Sturzflut in Luzern (LU),Luzern,47.0505452,8.3054682
Sturzflut 2,24.08.1944,Sturzflut im Entlebuch bei Marbach (LU) und Escholzmatt (LU),Entlebuch,46.9922358,8.0645622
Sturzflut 2,24.08.1944,Sturzflut bei Zweisimmen (BE) und Därstetten (BE),Zweisimmen,46.553261,7.3738058
Sturzflut 2,29.06.1944,Sturzflut bei Im Fang (FR),Fang,47.1778317,8.3670302
Hochwasser,25.09.1943,Starke Stauniederschläge im Tessin (Centovalli),Centovalli,46.15545525,8.657803793
Hochwasser,31.10.1942,Starke Stauniederschläge im Tessin und Hinterrhein,Hinterrhein,46.5605407,9.3427813
Hochwasser,03.08.1942,Starke Gewitterniederschläge im Tessin,Tessin,46.3351913,8.7525902
Sturzflut 2,25.06.1942,Sturzflut bei Steffisburg (BE) und Thun (BE),Steffisburg,46.7774738,7.6354195
Sturzflut 1,25.06.1942,Sturzflut bei Lütschental (BE),Lütschental,46.638529,7.947553
Sturzflut 2,12.06.1942,Sturzflut über dem Engelberg bei Safenwil (AG),Engelberg,46.8223497,8.4043996
Sturzflut 3,13.05.1942,Sturzflut bei Gauglera (FR),Gauglera (FR),46.75200073,7.24940506
Hochwasser,14.11.1940,Starkregen in der Westschweiz,Westschweiz,46.57714235,6.446213791
Hochwasser,07.07.1940,Starker Gewitterregen im Tessin,Tessin,46.3351913,8.7525902
Sturzflut 2,03.07.1940,Sturzflut bei Altstätten (SG),Altstätten (SG),47.3782189,9.5413964
Sturzflut 1,22.06.1940,Sturzflut bei Appenzell (AI),Appenzell,47.3299506,9.4099311
Hochwasser,29.05.1940,Starkregen in der Nordostschweiz,Nordostschweiz,47.58507871,9.165618472
Hochwasser,17.11.1939,Starkregen im Glarnerland und den Alpen,Glarnerland,47.1379405,9.049461429
Sturzflut 3,25.08.1939,Sturzflut am Bachtel (ZH),Bachtel,47.2941899,8.885733
Sturzflut 3,05.08.1939,Sturzflut in Altdorf (UR),Altdorf,46.8820732,8.6413922
Hochwasser,05.08.1939,Starkregen im Tessin und der Zentralschweiz mit Hochwasser,Tessin,46.3351913,8.7525902
Hochwasser,21.05.1939,Starkregen im Appenzellerland bei Teufen (AR),Teufen,47.392763,9.3947222
Hochwasser,13.08.1938,Starkregen im Kanton Schwyz und im Glarnerland,Kanton Schwyz,47.0571976,8.7222073
Sturzflut 1,01.08.1937,Sturzflut bei Mitholz (BE),Mitholz,46.5290139,7.6755806
Sturzflut 1,31.07.1937,Sturzflut bei Monthey (VS),Monthey,46.252844,6.9478263
Sturzflut 2,20.07.1937,Sturzflut bei Heiligenschwendi (BE),Heiligenschwendi,46.750388,7.68459
Sturzflut 1,01.06.1937,Sturzflut bei Wintersingen (BL) und Liestal (BL),Wintersingen ,47.4949559,7.823229
Hochwasser,03.12.1936,Starkregen in den Waadtländer Alpen bei Brienz und im Glarnerland,Brienz,46.7560001,8.0303006
Sturzflut 3,04.09.1936,Sturzflut bei Schüpfheim (LU) und Escholzmatt (LU),Schüpfheim,46.9517174,8.017953
Sturzflut 1,16.08.1936,Sturzflut im Suldtal (BE),Suldtal,46.62224231,7.766133009
Sturzflut 1,16.08.1936,Sturzflut bei Rolle (VD) und Aubonne (VD),Rolle (VD),46.4601563,6.3380469
Hochwasser,15.07.1936,Hochwasser am Bodensee Steckborn +5.30m,Steckborn,47.6653429,8.9815246
Sturzflut 1,12.01.1936,Starkregen in der Nordostschweiz mit Hochwasser der Thur,Nordostschweiz,47.58507871,9.165618472
Hochwasser,28.10.1935,Starkregen in den Alpen und Hochwasser am Sarnersee (OW),Sarnersee,46.8677372,8.2164418
Hochwasser,04.10.1935,Starker Dauerregen im Tessin,Tessin,46.3351913,8.7525902
Hochwasser,30.09.1935,Starker Gewitterregen in der Westschweiz,Westschweiz,46.57714235,6.446213791
Hochwasser,05.07.1935,Hochwasser am Bodensee Berlingen +5.31m,Bodensee,47.5170476,9.505267395
Sturzflut 2,03.07.1935,Sturzflut bei Lachen (SZ),Lachen,47.1923827,8.8523833
Hochwasser,09.09.1934,Extremer Gewitterregen in der Innerschweiz,Innerschweiz,47.00731182,8.681007863
Hochwasser,03.08.1934,Starker Gewitterregen im Tessin,Tessin,46.3351913,8.7525902
Sturzflut 1,12.08.1933,Sturzflut bei Stechelberg (BE),Stechelberg,46.5450161,7.9021989
Sturzflut 2,09.07.1933,Sturzflut bei Weggis (LU),Weggis,47.0322545,8.4346408
Sturzflut 1,07.07.1933,Sturzflut bei Olten (SO),Olten,47.3496571,7.903787
Hochwasser,21.06.1933,Starkregen im Tessin und Reusstal (UR),Reusstal,47.4091762,8.283316949
Sturzflut 2,27.09.1932,Starkregen im Centovalli (TI),Centovalli ,46.15545525,8.657803793
Sturzflut 3,22.09.1932,Sturzflut bei Crana-Torricella (TI),Crana-Torricella,46.07374184,8.893509263
Sturzflut 2,20.07.1932,Sturzflut bei Schaffhausen (SH) und Haidenhaus (TG),Schaffhausen ,47.6960491,8.634513
Sturzflut 1,19.07.1932,Sturzflut bei Glovelier (JU),Glovelier (JU),47.3343698,7.2044997
Hochwasser,09.07.1932,Starkregen mit Hochwasser in der Nordostschweiz,Nordostschweiz,47.58507871,9.165618472
Sturzflut 2,29.06.1932,Sturzflut bei Herisau (AR),Herisau,47.38555,9.2787571
Sturzflut 1,28.06.1932,Sturzflut bei Fischenthal (ZH),Fischenthal,47.3333136,8.9225988
Sturzflut 2,05.08.1931,Sturzflut bei Kägiswil (OW),Kägiswil (OW),46.9226842,8.2611528
Sturzflut 2,29.05.1931,Sturzflut im Bigenthal (BE),Bigenthal (BE),46.9668702,7.6250052
Sturzflut 3,29.05.1931,Sturzflut im Surbtal von Bad Zurzach (AG) bis Baden (AG),Bad Zurzach (AG),47.5866477,8.2940658
Hochwasser,20.05.1931,Starkregen im Kanton Zürich,Zürich,47.3744489,8.5410422
Hochwasser,29.11.1930,Starkregen im Tessin,Tessin,46.3351913,8.7525902
Hochwasser,23.07.1930,Starkregen im Tessin,Tessin,46.3351913,8.7525902
Sturzflut 1,06.07.1930,Sturzflut bei Lutry (VD) und Grandvaux (VD),Lutry (VD),46.5032766,6.6867879
Sturzflut 1,01.07.1930,Sturzflut im Simmental (BE),Simmental (BE),46.657719,7.469597
Sturzflut 3,23.06.1930,Sturzflut am Hörnli bei Bauma (ZH),Hörnli,47.3709273,8.9417546
Sturzflut 1,02.06.1930,Sturzflut bei Choindez (JU) und am Bielersee (BE),Choindez (JU),47.32040575,7.380039389
Hochwasser,14.05.1930,Tauwetter und Dauerregen > Hochwasser an Limmat - Töss - Thur,Limmattal,47.42022865,8.383647495
Sturzflut 2,29.04.1930,Sturzflut im Eigenthal (LU),Eigenthal (LU),47.0088291,8.2112182
